gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,modo,componente,tamanho_componente,origem,posicao_ranking,relacionado,vizinhos_no_corpus,ligacoes_possiveis_no_corpus
aasm,lib/aasm/core/invokers/base_invoker.rb,88061ec5104a,state machines,4.6,7,0,14,0.0,0,0.0,7,4,5,0.714,isolado,aasm#3,4,grupo,,True,3,3
aasm,lib/aasm/core/invokers/class_invoker.rb,88061ec5104a,state machines,4.5,12,0,82,0.0,1,0.0,11,4,11,1.0,isolado,aasm#3,4,grupo,,True,1,1
aasm,lib/aasm/core/invokers/literal_invoker.rb,88061ec5104a,state machines,4.8,9,0,92,0.0,1,53.8,13,4,13,1.0,isolado,aasm#3,4,grupo,217,True,1,1
aasm,lib/aasm/core/invokers/proc_invoker.rb,88061ec5104a,state machines,6.8,17,0,90,0.0,1,70.0,10,4,10,1.0,isolado,aasm#3,4,grupo,,True,1,1
aasm,lib/aasm/persistence/plain_persistence.rb,88061ec5104a,state machines,4.3,7,0,0,0.0,0,100.0,3,3,3,1.0,isolado,aasm#7,1,diversidade,67,False,0,0
active_model_serializers,lib/active_model/serializer/field.rb,6934c8bd31f4,api builder and discovery,8.7,16,0,71,0.0,0,71.4,7,2,7,1.0,isolado,active_model_serializers#1,1,diversidade,224,False,0,0
active_model_serializers,lib/active_model_serializers.rb,6934c8bd31f4,api builder and discovery,4.8,7,100,40,1.0,0,0.0,5,1,5,1.0,isolado,active_model_serializers#0,13,diversidade,256,True,2,2
active_model_serializers,lib/active_model_serializers/adapter/base.rb,6934c8bd31f4,api builder and discovery,3.2,4,46,23,0.0,0,7.7,13,3,13,1.0,isolado,active_model_serializers#0,13,diversidade,143,True,1,1
active_model_serializers,lib/active_model_serializers/adapter/json_api/error.rb,6934c8bd31f4,api builder and discovery,9.7,14,100,67,0.0,1,33.3,3,4,3,1.0,isolado,active_model_serializers#7,2,diversidade,271,False,0,0
active_model_serializers,lib/active_model_serializers/adapter/json_api/pagination_links.rb,6934c8bd31f4,api builder and discovery,5.2,11,0,83,0.0,1,0.0,12,4,12,1.0,isolado,active_model_serializers#10,1,diversidade,239,False,0,0
active_model_serializers,lib/active_model_serializers/model.rb,6934c8bd31f4,api builder and discovery,5.4,7,38,100,1.0,0,12.5,8,3,8,1.0,isolado,active_model_serializers#0,13,diversidade,49,True,1,1
activerecord,lib/active_record.rb,3989ebf3473d,orm/odm,7.9,21,100,33,0.86,0,5.6,18,7,18,1.0,isolado,activerecord#0,16,diversidade,166,False,0,0
activerecord,lib/active_record/associations/builder/belongs_to.rb,3989ebf3473d,orm/odm,13.9,34,100,82,0.0,1,45.5,11,2,10,0.909,isolado,activerecord#5,3,grupo,,True,1,1
activerecord,lib/active_record/associations/builder/has_one.rb,3989ebf3473d,orm/odm,5.6,11,100,75,0.0,1,12.5,8,2,7,0.875,isolado,activerecord#5,3,grupo,,True,1,1
activerecord,lib/active_record/associations/builder/singular_association.rb,3989ebf3473d,orm/odm,15.5,21,100,75,0.0,1,50.0,4,2,4,1.0,isolado,activerecord#8,1,diversidade,62,False,0,0
activerecord,lib/active_record/associations/foreign_association.rb,3989ebf3473d,orm/odm,10,17,0,100,0.0,0,0.0,3,2,3,1.0,isolado,activerecord#12,4,grupo,,True,2,2
activerecord,lib/active_record/associations/has_many_association.rb,3989ebf3473d,orm/odm,9.5,46,0,85,0.33,1,23.1,13,3,13,1.0,isolado,activerecord#12,4,grupo,,True,2,3
activerecord,lib/active_record/associations/has_many_through_association.rb,3989ebf3473d,orm/odm,9.4,36,0,81,0.33,2,19.0,21,3,21,1.0,isolado,activerecord#12,4,grupo,,True,1,1
activerecord,lib/active_record/associations/has_one_association.rb,3989ebf3473d,orm/odm,14.9,31,0,88,0.33,1,25.0,8,3,8,1.0,isolado,activerecord#12,4,grupo,,True,1,2
activerecord,lib/active_record/callbacks.rb,3989ebf3473d,orm/odm,4.3,11,0,0,1.0,0,0.0,6,3,6,1.0,isolado,activerecord#34,1,diversidade,176,False,0,0
activerecord,lib/active_record/connection_adapters/abstract/database_statements.rb,3989ebf3473d,orm/odm,6.3,41,0,32,0.0,0,0.0,71,3,59,0.831,isolado,activerecord#1,43,diversidade,225,False,0,1
activerecord,lib/active_record/errors.rb,3989ebf3473d,orm/odm,7.5,35,14,23,0.03,5,0.0,22,60,17,0.773,isolado,activerecord#113,1,diversidade,21,False,0,1
activerecord,lib/active_record/migration/default_strategy.rb,3989ebf3473d,orm/odm,3,3,0,100,0.0,1,33.3,3,3,3,1.0,isolado,activerecord#129,1,diversidade,17,False,0,0
activerecord,lib/active_record/query_cache.rb,3989ebf3473d,orm/odm,7,13,60,100,0.0,0,0.0,5,4,5,1.0,isolado,activerecord#134,1,diversidade,192,False,0,0
activerecord,lib/active_record/relation.rb,3989ebf3473d,orm/odm,7.3,44,2,76,2.5,0,2.0,100,4,99,0.99,isolado,activerecord#1,43,diversidade,6,False,0,2
activerecord,lib/active_record/touch_later.rb,3989ebf3473d,orm/odm,8,26,0,43,0.0,0,0.0,7,2,7,1.0,isolado,activerecord#5,3,grupo,,True,2,2
activerecord,lib/arel/attributes/attribute.rb,3989ebf3473d,orm/odm,3,3,0,100,1.67,1,0.0,4,3,4,1.0,isolado,activerecord#172,1,diversidade,220,False,0,0
activerecord-import,benchmarks/lib/base.rb,8ac907c9bbc5,orm/odm extensions,11.1,41,0,86,0.0,0,28.6,7,1,7,1.0,isolado,activerecord-import#0,1,diversidade,231,False,0,0
activerecord-import,benchmarks/lib/cli_parser.rb,8ac907c9bbc5,orm/odm extensions,17.8,68,100,60,0.0,0,0.0,5,1,5,1.0,isolado,activerecord-import#1,1,diversidade,213,False,0,0
activerecord-import,lib/activerecord-import/adapters/mysql_adapter.rb,8ac907c9bbc5,orm/odm extensions,13.1,52,0,100,2.0,0,0.0,9,1,9,1.0,com a biblioteca carregada,activerecord-import#5,3,grupo,303,True,1,2
